시도,Special_Supply_Competition_Rate,General_Supply_Competition_Rate,Special_Supply_Total_Units,General_Supply_Total_Units,Region_EN,GDP_Average,cluster
강원,0.51,10.35,16039,20659,Gangwon,58365933.666666664,0
경기,5.11,20.6,144467,156417,Gyeonggi,581423329.3333334,2
경남,0.84,10.08,24604,28596,Gyeongnam,127604077.33333333,0
경북,0.12,7.03,26099,29785,Gyeongbuk,122532430.0,0
광주,1.4,11.73,9127,15350,Gwangju,49491767.666666664,0
대구,0.54,10.62,25985,35260,Daegu,69991533.66666667,0
대전,3.08,18.65,18951,19440,Daejeon,51160233.0,0
부산,4.59,42.39,25634,27129,Busan,111506604.66666667,0
서울,62.17,100.94,16811,26492,Seoul,527854298.0,1
세종,56.06,305.29,3055,2611,Sejong,16076835.0,1
울산,0.7,9.68,11626,11300,Ulsan,84840073.0,0
인천,3.76,17.74,44093,49021,Incheon,111500634.66666667,0
전남,0.36,8.86,15073,17508,Jeonnam,95998477.0,0
전북,1.33,15.68,15097,18177,Jeonbuk,61626024.666666664,0
제주,0.09,2.16,124,6543,Jeju,24350909.0,0
충남,0.52,22.4,38984,40189,Chungnam,139816277.66666666,0
충북,2.03,15.87,22925,22684,Chungbuk,84515932.66666667,0
